RowIndex,Tag,ID,FactionID,RequireLevel,Name,Icon,Description,Type,CanDirectlyStudy,Order,Text,ChildrenJSON
89,Book,89,12,10,Quỷ Cốc Đạo Tàng,XinFa5_9,"Điển tịch võ học ngàn năm của Quỷ Cốc Môn, chiêu thức biến hóa khôn lường, khiến địch khó tránh né. Luyện sẽ tăng tỉ lệ chính xác của Quỷ Cốc đệ tử.",6,true,1,,
90,Book,90,12,20,Hoàng Đình Thích Giải,XinFa5_10,Nội công tâm pháp tổ tiên Quỷ Cốc kết hợp hoàng đình kinh văn và thiên địa chí lý sáng tao nên. Luyện sẽ tăng tỉ lệ né tránh của Quỷ Cốc đệ tử.,4,true,2,,
91,Book,91,12,20,Tam Viên Khâm Thiên Pháp,XinFa5_11,Quyển một của bí tịch bói sao của Quỷ Cốc Tử. Luyện sẽ tăng sinh lực của Quỷ Cốc đệ tử.,0,true,3,,
92,Book,92,12,10,Bổn Kinh Âm Phù Thất Thuật,XinFa5_12,"Tu luyện chi đạo do Quỷ Cốc biên soạn, học được sẽ kim thân bất bại, bách độc bất xâm. Luyện sẽ tăng nội thủ của Quỷ Cốc đệ tử.",7,true,4,,
93,Book,93,12,10,Bãi Hạp Sách,XinFa5_13,"Tung hoành thuật truyền thừa nhiều đời của Quỷ Cốc, sở trường vận dùng đạo lý Âm Dương lấy nhu chế cương. Luyện sẽ tăng nội công của Quỷ Cốc đệ tử.",3,true,5,,
94,Book,94,12,20,Vân Mộng Quyết,XinFa5_14,"Võ công điển tịch tập hợp tất cả các khinh công sát chiêu, do tiên tổ Quỷ Cốc sau khi quy ẩn Vân Mộng Sơn nghiên cứu ra. Luyện sẽ tăng giới hạn khí của Quỷ Cốc đệ tử.",1,true,6,,
95,Book,95,12,35,Tam Viên Đấu Số Kinh,XinFa5_15,Quyển hai của bí tịch bói sao của Quỷ Cốc Tử. Luyện sẽ tăng tỉ lệ chí mạng của Quỷ Cốc đệ tử.,8,false,7,,
96,Book,96,12,80,Thần Túc Điển Bí,FightSkillaoyi_12,Bí tịch ghi chép võ học tâm đắc của các đời Quỷ Cốc. Luyện sẽ tăng sinh lực của Quỷ Cốc đệ tử.,0,false,8,,
97,Book,97,13,10,Truyền Tập Lục - Lạc Thư,XinFa5_16,"Thân là người học võ, tinh thông âm nhạc, thì bất cứ loại nhạc cụ nào dù lớn dù nhỏ đều có thể được sử dụng làm vũ khí. Tu luyện giúp nâng cao tỷ lệ chính xác cho đệ tử Đào Hoa.",6,true,1,,
98,Book,98,13,20,Truyền Tập Lục - Tâm Pháp,XinFa6_1,"Là con người dù là bậc quân vương địa vị cao sang đến kẻ ăn mày danh phận thấp kém cũng đều có trái tim ở trong cơ thể. Tuân theo nguyên tắc này, dù là bất kỳ kẻ nào, chỉ cần trái tim còn đập, có thể sử dụng giả nhân mà điều khiển theo chủ ý của mình. Tu luyện giúp nâng cao tỷ lệ né tránh của đệ tử Đào Hoa.",4,true,2,,
99,Book,99,13,20,Truyền Tập Lục - Phản Hồn,XinFa6_2,"Người quân tử luôn tìm cách để ngàn đời vang danh, thì là đã được trường sinh mãi rồi. Tu luyện giúp nâng cao sinh lực cho đệ tử Đào Hoa.",0,true,3,,
100,Book,100,13,10,Truyền Tập Lục - Nhân Chính,XinFa6_3,"Võ hiệp sở dĩ có thể hùng bá thiên hạ, cốt ở 5 điều: Dựa vào địa hình sáng lập tông phái, lấy quy củ giáo huấn môn đồ, lấy lý lẽ truyền thụ võ công, lấy lòng nhân ái cầu an, lấy chiến tranh để nói về tình đồng môn. Tu luyện giúp nâng cao ngoại thủ cho đệ tử Đào Hoa.",7,true,4,,
101,Book,101,13,10,Truyền Tập Lục - Chinh Phạt,XinFa6_4,"Yêu nước, thương dân, tất cả đồng lòng. Một khi có chiến tranh tất phải dùng chính chiến tranh để kết thúc nó. Tu luyện giúp tăng ngoại công cho đệ tử Đào Hoa.",2,true,5,,
102,Book,102,13,20,Truyền Tập Lục - Cộng Tình,XinFa6_5,"Lòng thương người, sự cảm thông xuất phát từ trái tim. Đó chính là điều ở côn trùng, dã thú, cây cỏ không có được. Tu luyện giúp tăng khí thượng hạn cho đệ tử Đào Hoa.",1,true,6,,
103,Book,103,13,35,Truyền Tập Lục - Thủy Thệ,XinFa6_6,"Người chết nào cảm nhận được sự đớn đau, tủi nhục. Chỉ có cái chết mới giúp con người ta đi vào màn đêm dài tĩnh mịch, thay vì phải cố gắng chịu đựng những đắng cay trong cuộc đời ngắn ngủi. Tu luyện giúp nâng cao tỷ lệ hội tâm nhất kích cho đệ tử Đào Hoa.",8,false,7,,
104,Book,104,13,80,Quan Hồ Điển Bí,FightSkillaoyi_13,"Ghi nhận lại tất cả bí tịch võ học tâm đắc của các tiền bối phái Đào Hoa, võ học tinh túy. Tu luyện giúp tăng cường sinh mạng cho đệ tử Đào Hoa.",0,false,8,,
105,Book,105,100,10,Lang Hoàn Ngọc Giản,HJXinFa5_1,"Tàng phổ võ học tổng hợp của tiền nhiệm trang chủ Vương Dật Chi, trích tinh hoa võ học các phái tại Phúc địa Lang Hoàn, dung hợp vào kỹ thuật gảy đàn, biên soạn suốt ba năm mới thành. Sau khi tu luyện sẽ tăng tỷ lệ chính xác cho đệ tử Mạn Đà.",6,true,1,,
106,Book,106,100,20,Tàn Phổ Thông Khảo,HJXinFa5_2,"Tàn phổ cổ cầm thời thượng cổ, do Mạn Đà Sơn Trang thu thập và khảo cứu qua nhiều đời, nhằm minh lý hiểu nghĩa, nghiên cứu đạo lý âm luật. Sau khi tu luyện sẽ tăng tỷ lệ né tránh cho đệ tử Mạn Đà.",4,true,2,,
107,Book,107,100,20,Hoa Luật Thập Thất Quyển,HJXinFa5_3,"Tương truyền do một trang chủ thời Nam Bắc triều sáng tác, ghi chép quy luật sinh – lụi của trăm hoa, mượn tiếng đàn để giãi bày tình cảm yêu thương và tiếc nuối. Sau khi tu luyện sẽ tăng sinh mệnh lực cho đệ tử Mạn Đà.",0,true,3,,
108,Book,108,100,10,Vấn Tình Sao,HJXinFa5_4,"Tương truyền do một trang chủ thời Thịnh Đường đạt đến cảnh giới tâm huyền sáng tác, ghi chép phương pháp hỏi tình qua tiếng đàn, là chuẩn tắc nghiên cứu tâm huyền cho hậu thế. Sau khi tu luyện sẽ tăng phòng ngự nội công cho đệ tử Mạn Đà.",7,true,4,,
109,Book,109,100,10,Lang Gia Cựu Điển,HJXinFa5_5,"Điển tịch do Vương thị Lang Nha lưu giữ, ghi chép phương pháp chế đàn, trồng hoa. Về sau do di cư phương Nam, sách cổ lưu truyền về Mạn Đà Sơn Trang. Sau khi tu luyện sẽ tăng công kích nội công cho đệ tử Mạn Đà.",2,true,5,,
110,Book,110,100,20,Cầm Phú,HJXinFa5_6,"Bảo vật trấn trang của Mạn Đà Sơn Trang, do Kê Khang chính tay viết, được xem là tinh hoa tuyệt kỹ gảy đàn của ông. Sau khi tu luyện sẽ tăng giới hạn khí cho đệ tử Mạn Đà.",1,true,6,,
111,Book,111,100,35,Thị Hoa Lục,HJXinFa5_7,"Bí pháp gia truyền của Quan thị vùng Giang Nam, ghi chép đặc tính thực vật, phương pháp chăm bón, còn có thuật hái lá phi hoa. Sau biến cố gia tộc, truyền tán ra giang hồ, hiện thuộc sở hữu Mạn Đà Sơn Trang. Sau khi tu luyện sẽ tăng tỷ lệ hội tâm nhất kích cho đệ tử Mạn Đà.",8,false,7,,
112,Book,112,100,80,Truân Mân Điển Bí,FightSkillaoyi_2,"Ghi nhận lại tất cả bí tịch võ học tâm đắc của các tiền bối phái Mạn Đà, võ học tinh túy. Tu luyện giúp tăng cường sinh mạng cho đệ tử Mạn Đà.",0,false,8,,
113,Book,113,14,10,Dữ Tâm Thư - Vô Úy,XinFa6_7,"Thiếu niên chí hướng, chẳng chịu an cư trong nhà, nên lòng háo hức phiêu bạt giang hồ, vì thế mà không sợ hiểm nguy. Sau khi tu luyện, tăng tỷ lệ chính xác cho đệ tử Tuyệt Tình.",6,true,1,,
114,Book,114,14,20,Dữ Tâm Thư - Tình Nghị,XinFa6_8,"Tín tâm vững chắc, tình nghĩa kiên cường, như lửa cháy sáng trong lòng. Sau khi tu luyện, tăng tỷ lệ né tránh cho đệ tử Tuyệt Tình.",4,true,2,,
115,Book,115,14,20,Dữ Tâm Thư - Cầu Tác,XinFa6_9,"Người anh hùng chân chính, vì nước vì dân mà bước vào giang hồ. Có đúng chăng? Ta nguyện tìm đạo khắp nơi. Sau khi tu luyện, tăng sinh lực cho đệ tử Tuyệt Tình.",0,true,3,,
116,Book,116,14,10,Dữ Tâm Thư - Chỉ Qua,XinFa6_10,"Tự rèn luyện thân thể, lấy võ công giúp người yếu thế, chứ không phải để hiếp đáp kẻ mạnh. Sau khi tu luyện, tăng phòng thủ ngoại công cho đệ tử Tuyệt Tình.",7,true,4,,
117,Book,117,14,10,Dữ Tâm Thư - Bất Khuất,XinFa6_11,"Đường ta đi, chính là đạo ta chọn. Không chết thì không cúi đầu. Sau khi tu luyện, tăng tấn công ngoại công cho đệ tử Tuyệt Tình.",2,true,5,,
118,Book,118,14,20,Dữ Tâm Thư - Ý Quyết,XinFa6_12,"Chặt bỏ mọi khói bụi quá khứ, giữ lại chân tâm, bước đi theo lối của riêng mình. Sau khi tu luyện, tăng giới hạn Khí cho đệ tử Tuyệt Tình.",1,true,6,,
119,Book,119,14,35,Dữ Tâm Thư - Phản Chế,XinFa6_13,"Thiên hạ thường xem kẻ đứng trên là lẽ phải, nhưng ta cười mà chẳng giống họ. Sau khi tu luyện, tăng tỷ lệ chí mạng cho đệ tử Tuyệt Tình.",8,false,7,,
120,Book,120,14,80,Tu Viễn Điển Bí,XinFa6_14,"Ghi nhận lại tất cả bí tịch võ học tâm đắc của các tiền bối phái Tuyệt Tình, võ học tinh túy. Tu luyện giúp tăng cường sinh mạng cho đệ tử Tuyệt Tình.",0,false,8,,
121,Book,121,15,10,Vô Kỵ Tâm Kinh,XinFa6_15,"Tâm pháp nhập môn của bộ Vô Tận Quyết do Cốc chủ Sơn Quỷ sáng lập. Tinh túy võ học thiên hạ đều được dung hợp vào một, vận dụng tự nhiên như gió, không điều gì kiêng kỵ. Sau khi tu luyện, tăng tỷ lệ chính xác cho đệ tử Ác Nhân Cốc.",6,true,1,,
122,Book,122,15,20,Đoán Cốt Thông Mạch Quyết,XinFa6_16,"Trích từ cổ tịch, phối hợp cùng dược lý, luyện công bằng cách gãy xương sinh tuệ, khai thông kinh mạch mở huyệt đạo. Sau khi tu luyện, tăng tỷ lệ né tránh cho đệ tử Ác Nhân Cốc.",4,true,2,,
123,Book,123,15,20,Thiên Nhân Tam Vấn,XinFa7_1,"Do một vị tiên sư thời Ngụy Tấn ngộ ra từ ba bí pháp Huyền học mà lập thành ba câu hỏi lớn. Bí tịch thất lạc chỉ còn tàn chương, Sơn Quỷ ngộ được chân lý trong đạo, biên soạn thành hai quyển tâm pháp, đây là một trong số đó. Sau khi tu luyện, tăng sinh lực cho đệ tử Ác Nhân Cốc.",0,true,3,,
124,Book,124,15,10,Hành Ác Lễ Pháp,XinFa7_2,"Khi Ác Nhân Cốc mới thành lập, trăm ác kéo đến. Sơn Quỷ đối thoại đạo đức, biện thiện luận ác, suốt 49 ngày, cuối cùng biên soạn ra Hành Ác Lễ Pháp. Sau khi tu luyện, tăng phòng thủ nội công cho đệ tử Ác Nhân Cốc.",7,true,4,,
125,Book,125,15,10,Đại Công Lưỡng Nghi,XinFa7_3,"Quyển thứ hai trong hai bộ tâm pháp do Sơn Quỷ ngộ từ Tam Vấn biên soạn. Dựa trên lý niệm vạn vật có thanh trọc, động tĩnh đối lập mà thành, chiêu thức bá đạo, nội lực mạnh mẽ. Sau khi tu luyện, tăng công kích nội công cho đệ tử Ác Nhân Cốc.",2,true,5,,
126,Book,126,15,20,Vạn Tướng Quyết,XinFa7_4,"Tâm tịnh như gương, vạn vật rõ ràng. Đây là bộ công pháp do Ác Nhân Cốc dựa trên sự quan sát vạn tượng thế gian mà sáng lập. Sau khi tu luyện, tăng giới hạn Khí cho đệ tử Ác Nhân Cốc.",1,true,6,,
127,Book,127,15,35,Vô Tận Quyết,XinFa7_5,"Tuyệt học do Cốc chủ Sơn Quỷ dung hợp chiêu thức các phái Trung Nguyên làm cốt, phối với tâm pháp Tây Hạ làm da thịt, khổ luyện và hoàn thiện thành. Sau khi tu luyện, tăng tỷ lệ chí mạng cho đệ tử Ác Nhân Cốc.",8,false,7,,
128,Book,128,15,80,Thiên Mệnh Điển Bí,XinFa7_6,"Ghi nhận lại tất cả bí tịch võ học tâm đắc của các tiền bối phái Ác Nhân Cốc, võ học tinh túy. Tu luyện giúp tăng cường sinh mạng cho đệ tử Ác Nhân Cốc.",0,false,8,,
